Volume,Page,KF Scientific Name,KF Scientific Name,AH Scientific Name,AH Common Name,"Dimensions (hxw, cm)",Place Name-1,Year-1,Place Name-2,Year-2,Place Name-3,Year-3,Place Name-4,Year-4,Place Name-5,Year-5,Place Name-6 ,Year-6,Place Name-7,Year-7,Place Name-8,Year-8,,
2,18,Viola selkirkii Pursh ,,Viola selkirkii Pursh ,great-spurred violet,25.2 x 19.2,Fayette,1880,Patten,1880,Strong,1882,Mt. Day,nd,Avon,1882,,,,,,,,
2,19,Viola pallens Brainerd ,Viola blanda Willd ,Viola pallens (Banks ex DC) Brainerd ,smooth white violet,19.1 x 14.2,Brunswick,1870,South Poland,1893,Wells,1898,,,,,,,,,,,,
2,20,Viola pallens Brainerd ,Viola blanda Willd ,Viola pallens (Banks ex DC) Brainerd ,smooth white violet,38.3 x 28.0,Orono,1881,,,,,,,,,,,,,,,,
2,21,Viola blanda Willd ,Viola blanda Willd ,Viola blanda Willd ,sweet white violet,37.8 x 27.3,South Poland,1893,,,,,,,,,,,,,,,,
2,22,Viola renifolia Gray ,Viola blanda Willd ,Viola renifolia Gray ,kidney-leaved violet,36.6 x 27.3,Orono,1880,Gilead,1897,,,,,,,,,,,,,,
2,23,Viola lanceolota L ,,Viola lanceolota L ,lance-leaved violet,23.3 x 19.0,Brunswick,1871,Fort Kent,1880,South Poland,1893,Wells,1898,West Baldwin,1880,Orono,1880,,,,,,
2,24,Viola rotundifolia Michx ,,Viola rotundifolia Michx ,round-leaved violet,37.8 x 27.0,Brunswick,1873,South Poland,1893,Rangeley,1882,,,,,,,,,,,,
2,25,Viola rotundifolia Michx ,,Viola rotundifolia Michx ,round-leaved violet,33.3 x 25.3,Caribou,1880,Fort Fairfield,1880,Presque Isle,1880,Presque Isle,1881,,,,,,,,,,
2,26,Viola pubescens Ait ,Viola scabriuscula Schwein ,Viola pubescens var scabriuscula Torr & Gray ,yellow forest violet,37.2 x 27.3,Topsham,1870,,,,,,,,,,,,,,,,
2,27,Viola scabriuscula Schwein ,Viola pubescens Ait ,Viola pubescens var scabriuscula Torr & Gray ,yellow forest violet,37.0 x 26.8 ,Fayette,1878,South Poland,1893,,,,,,,,,,,,,,
2,28,Viola scabriuscula Schwein ,Viola pubescens Ait ,Viola pubescens var scabriuscula Torr & Gray ,yellow forest violet,38.3 x 27.5,Gardiner,1896,,,,,,,,,,,,,,,,
2,29,Viola labradorica Schrank ,,Viola labradorica Schrank ,American dog violet,37.4 x 27.6,Shapleigh,1901,,,,,,,,,,,,,,,,
2,30,Viola scabriuscula Schwein ,Viola pubescens Ait ,Viola pubescens var scabriuscula Torr & Gray ,yellow forest violet,37.8 x 27.4,Gray,1896,,,,,,,,,,,,,,,,
2,33,Viola arenaria DC ,Viola canina L ,Viola adunca Sm ,hook-spurred violet,37.7 x 27.4,Orono,1891,South Poland,1893,West Baldwin,1900,Brunswick,1909,,,,,,,,,,
2,35,Dianthus deltoides L ,,Dianthus deltoides L ,maiden pink,38.0 x 27.3,Bethel,1897,,,,,,,,,,,,,,,,
2,36,Dianthus deltoides L ,,Dianthus deltoides L ,maiden pink,38.0 x 27.2 ,Brunswick,1899,,,,,,,,,,,,,,,,
2,37,Silene armeria L ,,Atocion armeria (L) Raf ,sweet-William-catchfly,37.3 x 27.6,Mount Desert,1888,,,,,,,,,,,,,,,,
2,38,Gypsophilia muralis L ,,Gypsophilia muralis L ,low baby's-breath,37.0 x 26.5,Lewiston,1901,,,,,,,,,,,,,,,,
2,39,Gypsophilia muralis L ,,Gypsophilia muralis L ,low baby's-breath,38.1 x 27.2,South Paris,1897,,,,,,,,,,,,,,,,
2,40,Saponaria officinalis L ,,Saponaria officinalis L ,common soapwort,37.5 x 27.6,Strong,1882,Wells,1898,Rangeley,1882,Gilead,1897,West Baldwin,1900,,,,,,,,
2,41,Silene nivea Otth ,,Silene nivea (Nutt) Muhl ex Otth ,snowy campion,38.2 x 27.2,Orono,1897,,,,,,,,,,,,,,,,
2,42,Silene cucubalis Wibel ,,Silene stellata Ait ,starry campion,37.4 x 26.9,Brunswick,1895,Brunswick,1909,,,,,,,,,,,,,,
2,43,Silene cucubalus Wibel ,,Silene stellata (L) Ait f,starry campion,38.0 x 22.0,Wells Beach,1879,,,,,,,,,,,,,,,,
2,44,Silene antirrhina L ,,Silene antirrhina L ,sleepy campion,35.2 x 26.2 ,Wells,1898,South Poland,1895,,,,,,,,,,,,,,
2,45,Silene noctiflora L ,,Silene noctiflora L ,night-flowering campion,37.7 x 26.8,South Poland,1895,Gilead,1897,Wells,1898,,,,,,,,,,,,
2,46,Silene dichotoma,,Silene dichotoma Ehrh ,forkeDCampion,37.0 x 26.9,East Livermore,1894,Wells,1898,Gilead,1897,,,,,,,,,,,,
2,47,Lychnis alba Mill ,Lychnis vespertina Sibth ,Silene latifolia Poir ,white campion,37.5 x 27.0,Rangeley,1894,Sabattus,1901,East Livermore,1901,,,,,,,,,,,,
2,48,Agrostemma githago L ,Lychnis githago Lam ,Agrostemma githago L ,common corncockle,33.7 x 23.7,Brunswick,nd,South Poland,1893,Orono,1891,Wells,1898,,,,,,,,,,
2,49,Arenaria leptoclados Guss ,,Arenaria serpyllifolia L ,thyme-leaved sandwort,37.8 x 27.7,Elliotsville,1895,,,,,,,,,,,,,,,,
